timestamp,detection_confidence,estimated_distance_cm,flight_time,battery,acc_x,acc_y,acc_z,pitch,roll,yaw_attitude,altitude_tof,vel_x,vel_y,vel_z,rc_lr,rc_fb,rc_ud,rc_yaw
2025-08-07T14:22:47.632301,0.8674459457397461,63.63636363636363,15,39,0.0,13.0,-1003.0,0,0,168,153,0,0,1,0,-13,-21,0
2025-08-07T14:22:47.664768,0.8402911424636841,63.45609065155807,15,39,0.0,13.0,-1003.0,0,0,168,153,0,0,1,0,-13,-21,0
2025-08-07T14:22:47.695963,0.8469765186309814,63.27683615819209,15,39,0.0,13.0,-1003.0,0,0,168,153,0,0,1,0,-13,-20,0
2025-08-07T14:22:47.714703,0.8696129322052002,63.098591549295776,15,39,0.0,13.0,-1003.0,0,0,168,153,0,0,1,0,-13,-19,0
2025-08-07T14:22:47.734892,0.8696129322052002,63.098591549295776,15,39,2.0,-12.0,-1006.0,0,0,168,151,0,0,1,0,-13,-19,0
2025-08-07T14:22:47.764664,0.8919668793678284,63.81766381766382,15,39,2.0,-12.0,-1006.0,0,0,168,151,0,0,1,0,-14,-18,0
2025-08-07T14:22:47.778664,0.8323243856430054,63.81766381766382,15,39,2.0,-12.0,-1006.0,0,0,168,151,0,0,1,0,-14,-18,0
2025-08-07T14:22:47.797669,0.8323243856430054,63.81766381766382,15,39,2.0,-12.0,-1006.0,0,0,168,151,0,0,1,0,-14,-18,0
2025-08-07T14:22:47.829257,0.871096670627594,63.63636363636363,15,39,0.0,0.0,-1010.0,0,0,168,150,0,0,1,0,-14,-18,0
2025-08-07T14:22:47.848510,0.871096670627594,63.63636363636363,15,39,0.0,0.0,-1010.0,0,0,168,150,0,0,1,0,-14,-18,0
2025-08-07T14:22:47.874504,0.8882195949554443,64.73988439306359,15,39,0.0,0.0,-1010.0,0,0,168,150,0,0,1,0,-14,-15,0
2025-08-07T14:22:47.912350,0.8882195949554443,64.73988439306359,15,39,0.0,0.0,-1010.0,0,0,168,150,0,0,1,0,-14,-15,0
2025-08-07T14:22:47.937748,0.6816437244415283,64.0,15,39,-5.0,6.0,-1005.0,0,0,168,148,0,0,1,0,-14,-16,0
2025-08-07T14:22:47.970477,0.8498731255531311,64.55331412103746,15,39,-5.0,6.0,-1005.0,0,0,168,148,0,0,1,0,-15,-14,0
2025-08-07T14:22:47.996798,0.7406691908836365,64.0,15,39,-5.0,6.0,-1005.0,0,0,168,148,0,0,1,0,-15,-14,0
2025-08-07T14:22:48.023029,0.8672780394554138,65.49707602339181,15,39,-5.0,6.0,-1005.0,0,0,168,148,0,0,1,0,-15,-17,0
2025-08-07T14:22:48.038453,0.8672780394554138,65.49707602339181,15,39,20.0,-13.0,-998.0,0,0,168,148,1,0,1,0,-14,-17,0
2025-08-07T14:22:48.058717,0.8906640410423279,73.44262295081967,15,39,20.0,-13.0,-998.0,0,0,168,148,1,0,1,0,-14,-18,0
2025-08-07T14:22:48.090360,0.871372401714325,66.07669616519173,15,39,2.0,-5.0,-1011.0,0,0,168,146,1,0,1,0,-13,-17,0
2025-08-07T14:22:48.123570,0.8832650780677795,66.66666666666667,15,39,2.0,-5.0,-1011.0,0,0,168,146,1,0,1,0,-13,-17,0
2025-08-07T14:22:48.154362,0.8945099711418152,69.1358024691358,15,39,2.0,-5.0,-1011.0,0,0,168,146,1,0,1,0,-12,-18,0
2025-08-07T14:22:48.186133,0.8739296793937683,65.6891495601173,15,39,-12.0,4.0,-1025.0,0,0,168,145,1,0,0,0,-12,-16,0
2025-08-07T14:22:48.208683,0.902144730091095,68.08510638297872,15,39,-12.0,4.0,-1025.0,0,0,168,145,1,0,0,0,-13,-17,0
2025-08-07T14:22:48.232467,0.902144730091095,68.08510638297872,15,39,-12.0,4.0,-1025.0,0,0,168,145,1,0,0,0,-13,-17,0
2025-08-07T14:22:48.265616,0.8984705209732056,66.07669616519173,15,39,-12.0,4.0,-1025.0,0,0,168,145,1,0,0,0,-13,-17,0
2025-08-07T14:22:48.283938,0.8984705209732056,66.07669616519173,16,39,0.0,-10.0,-1003.0,0,0,168,145,1,0,0,0,-13,-17,0
2025-08-07T14:22:48.313956,0.8549391031265259,66.07669616519173,16,39,0.0,-10.0,-1003.0,0,0,168,145,1,0,0,0,-13,-14,0
2025-08-07T14:22:48.339816,0.575829803943634,68.29268292682927,16,39,0.0,-10.0,-1003.0,0,0,168,145,1,0,0,0,-13,-16,0
2025-08-07T14:22:48.372952,0.8179599642753601,70.44025157232704,16,39,0.0,-10.0,-1003.0,0,0,168,145,1,0,0,0,-13,-17,0
2025-08-07T14:22:48.401051,0.7426561117172241,64.92753623188406,16,39,0.0,-10.0,-1003.0,0,0,168,145,1,0,0,0,-13,-14,0
2025-08-07T14:22:48.431137,0.8110174536705017,69.78193146417445,16,39,0.0,-10.0,-1003.0,0,0,168,145,1,0,0,0,-13,-16,0
2025-08-07T14:22:48.464004,0.8884616494178772,65.88235294117646,16,39,-20.0,17.0,-1012.0,0,0,168,144,1,0,0,0,-13,-15,0
2025-08-07T14:22:48.496711,0.9003835320472717,64.55331412103746,16,39,-20.0,17.0,-1012.0,0,0,168,144,1,0,0,0,-13,-15,0
2025-08-07T14:22:48.521338,0.8894290924072266,64.55331412103746,16,39,-20.0,17.0,-1012.0,0,0,168,144,1,0,0,0,-14,-15,0
2025-08-07T14:22:48.543337,0.8894290924072266,64.55331412103746,16,39,5.0,-11.0,-1005.0,0,0,168,144,1,0,0,0,-14,-15,0
2025-08-07T14:22:48.574443,0.8752496838569641,64.92753623188406,16,39,5.0,-11.0,-1005.0,0,0,168,144,1,0,0,0,-14,-15,0
2025-08-07T14:22:48.602563,0.8741664886474609,64.36781609195403,16,39,5.0,-11.0,-1005.0,0,0,168,144,1,0,0,0,-14,-15,0
2025-08-07T14:22:48.635924,0.6607271432876587,64.55331412103746,16,39,5.0,-11.0,-1005.0,0,0,168,144,1,0,0,0,-14,-15,0
2025-08-07T14:22:48.667916,0.6205719113349915,64.18338108882521,16,39,-12.0,-3.0,-993.0,0,0,168,143,1,0,0,0,-14,-15,0
2025-08-07T14:22:48.698988,0.8666346073150635,64.55331412103746,16,39,-12.0,-3.0,-993.0,0,0,168,143,1,0,0,0,-14,-15,0
2025-08-07T14:22:48.734513,0.9023034572601318,64.0,16,39,-12.0,-3.0,-993.0,0,0,168,143,1,0,0,0,-14,-15,0
2025-08-07T14:22:48.756615,0.884435772895813,64.55331412103746,16,39,7.0,-1.0,-996.0,0,0,168,142,1,0,0,0,-14,-15,0
2025-08-07T14:22:48.772615,0.884435772895813,64.55331412103746,16,39,7.0,-1.0,-996.0,0,0,168,142,1,0,0,0,-14,-15,0
2025-08-07T14:22:48.786862,0.8606811165809631,65.11627906976744,16,39,7.0,-1.0,-996.0,0,0,168,142,1,0,0,0,-14,-15,0
2025-08-07T14:22:48.809946,0.8606811165809631,65.11627906976744,16,39,6.0,-6.0,-999.0,0,0,168,142,1,0,0,0,-14,-15,0
2025-08-07T14:22:48.841018,0.8877432942390442,65.11627906976744,16,39,6.0,-6.0,-999.0,0,0,168,142,1,0,0,0,-14,-15,0
2025-08-07T14:22:48.865939,0.871805727481842,65.49707602339181,16,39,6.0,-6.0,-999.0,0,0,168,142,1,0,0,0,-14,-14,0
2025-08-07T14:22:48.888942,0.871805727481842,65.49707602339181,16,39,6.0,-6.0,-999.0,0,0,168,142,1,0,0,0,-14,-14,0
2025-08-07T14:22:48.912207,0.27788978815078735,64.18338108882521,16,39,17.0,0.0,-999.0,0,0,168,141,1,0,0,0,-14,-14,0
2025-08-07T14:22:48.938358,0.27788978815078735,64.18338108882521,16,39,17.0,0.0,-999.0,0,0,168,141,1,0,0,0,-14,-14,0
2025-08-07T14:22:48.965834,0.8257695436477661,66.07669616519173,16,39,17.0,0.0,-999.0,0,0,168,141,1,0,0,0,-14,-15,0
2025-08-07T14:22:49.000097,0.8959423899650574,67.26726726726727,16,39,17.0,0.0,-999.0,0,0,168,141,1,0,0,0,-14,-15,0
2025-08-07T14:22:49.020050,0.8988226056098938,66.86567164179104,16,39,-7.0,2.0,-1013.0,0,0,168,141,1,0,0,0,-14,-14,0
2025-08-07T14:22:49.044199,0.8988226056098938,66.86567164179104,16,39,-7.0,2.0,-1013.0,0,0,168,141,1,0,0,0,-14,-14,0
2025-08-07T14:22:49.070321,0.9042644500732422,66.86567164179104,16,39,-7.0,2.0,-1013.0,0,0,168,141,1,0,0,0,-14,-15,0
2025-08-07T14:22:49.103807,0.9075840711593628,67.46987951807229,16,39,7.0,-14.0,-995.0,0,0,168,140,1,0,0,0,-14,-15,0
2025-08-07T14:22:49.139353,0.8972549438476562,67.06586826347305,16,39,7.0,-14.0,-995.0,0,0,168,140,1,0,0,0,-14,-15,0
2025-08-07T14:22:49.170445,0.8753288388252258,67.06586826347305,16,39,7.0,-14.0,-995.0,0,0,168,140,1,0,0,0,-14,-15,0
2025-08-07T14:22:49.199637,0.9083028435707092,66.07669616519173,16,39,7.0,-14.0,-995.0,0,0,168,140,1,0,0,0,-14,-14,0
2025-08-07T14:22:49.225636,0.8954152464866638,67.06586826347305,17,39,-16.0,10.0,-1002.0,0,0,168,140,1,0,0,0,-14,-14,0
2025-08-07T14:22:49.241951,0.8813230395317078,66.66666666666667,17,39,-16.0,10.0,-1002.0,0,0,168,140,1,0,0,0,-14,-14,0
2025-08-07T14:22:49.262579,0.8813230395317078,66.66666666666667,17,39,-16.0,10.0,-1002.0,0,0,168,140,1,0,0,0,-14,-14,0
2025-08-07T14:22:49.289898,0.8894299864768982,66.66666666666667,17,39,-16.0,10.0,-1002.0,0,0,168,140,1,0,0,0,-14,-14,0
2025-08-07T14:22:49.308989,0.8894299864768982,66.66666666666667,17,39,-2.0,-2.0,-1000.0,0,0,168,139,1,0,0,0,-14,-14,0
2025-08-07T14:22:49.336989,0.9070335030555725,66.86567164179104,17,39,-2.0,-2.0,-1000.0,0,0,168,139,1,0,0,0,-14,-13,0
2025-08-07T14:22:49.350991,0.8899189233779907,67.06586826347305,17,39,-2.0,-2.0,-1000.0,0,0,168,139,1,0,0,0,-14,-13,0
2025-08-07T14:22:49.375464,0.8899189233779907,67.06586826347305,17,39,-2.0,-2.0,-1000.0,0,0,168,139,1,0,0,0,-14,-13,0
2025-08-07T14:22:49.405819,0.8893318176269531,67.06586826347305,17,39,-2.0,-2.0,-1000.0,0,0,168,139,1,0,0,0,-14,-13,0
2025-08-07T14:22:49.423932,0.8843896389007568,67.87878787878788,17,39,-3.0,0.0,-999.0,0,0,168,139,1,0,0,0,-14,-13,0
2025-08-07T14:22:49.446127,0.8987074494361877,68.92307692307692,17,39,-3.0,0.0,-999.0,0,0,168,139,1,0,0,0,-14,-14,0
2025-08-07T14:22:49.465698,0.8987074494361877,68.92307692307692,17,39,-3.0,0.0,-999.0,0,0,168,139,1,0,0,0,-14,-14,0
2025-08-07T14:22:49.492150,0.8776794075965881,69.56521739130434,17,39,-3.0,0.0,-999.0,0,0,168,139,1,0,0,0,-14,-13,0
2025-08-07T14:22:49.510561,0.8776794075965881,69.56521739130434,17,39,-6.0,-3.0,-999.0,0,0,168,139,1,0,0,0,-13,-13,0
2025-08-07T14:22:49.538747,0.8653476238250732,72.25806451612904,17,39,-6.0,-3.0,-999.0,0,0,168,139,1,0,0,0,-13,-14,0
2025-08-07T14:22:49.554948,0.8583148717880249,74.4186046511628,17,39,-6.0,-3.0,-999.0,0,0,168,139,1,0,0,0,-13,-14,0
2025-08-07T14:22:49.573953,0.8583148717880249,74.4186046511628,17,39,-6.0,-3.0,-999.0,0,0,168,139,1,0,0,0,-12,-14,0
2025-08-07T14:22:49.609374,0.8473700284957886,71.7948717948718,17,39,-11.0,15.0,-1014.0,0,0,168,138,1,0,0,0,-12,-13,0
2025-08-07T14:22:49.639622,0.8659961223602295,73.44262295081967,17,39,-11.0,15.0,-1014.0,0,0,168,138,1,0,0,0,-12,-13,0
2025-08-07T14:22:49.667624,0.8649333715438843,72.9641693811075,17,39,-11.0,15.0,-1014.0,0,0,168,138,1,0,0,0,-12,-14,0
2025-08-07T14:22:49.697830,0.8967193961143494,73.20261437908496,17,39,-11.0,15.0,-1014.0,0,0,168,138,1,0,0,0,-12,-13,0
2025-08-07T14:22:49.729833,0.7596450448036194,74.4186046511628,17,39,-2.0,6.0,-998.0,0,0,168,138,1,0,0,0,-12,-14,0
2025-08-07T14:22:49.756088,0.8469566106796265,75.16778523489933,17,39,-2.0,6.0,-998.0,0,0,168,138,1,0,0,0,-12,-13,0
2025-08-07T14:22:49.778105,0.8469566106796265,75.16778523489933,17,39,-2.0,6.0,-998.0,0,0,168,138,1,0,0,0,-12,-13,0
2025-08-07T14:22:49.810617,0.8752102851867676,75.16778523489933,17,39,-2.0,6.0,-998.0,0,0,168,138,1,0,0,0,-11,-12,0
2025-08-07T14:22:49.841850,0.7356574535369873,76.71232876712328,17,39,-9.0,5.0,-998.0,0,0,168,137,1,0,0,0,-11,-13,0
2025-08-07T14:22:49.865991,0.8961869478225708,73.20261437908496,17,39,-9.0,5.0,-998.0,0,0,168,137,1,0,0,0,-11,-12,0
2025-08-07T14:22:49.888372,0.8961869478225708,73.20261437908496,17,39,-9.0,5.0,-998.0,0,0,168,137,1,0,0,0,-12,-12,0
2025-08-07T14:22:49.912488,0.8961869478225708,73.20261437908496,17,39,-9.0,5.0,-998.0,0,0,168,137,1,0,0,0,-12,-12,0
2025-08-07T14:22:49.932489,0.6505160331726074,78.87323943661971,17,39,5.0,-19.0,-1006.0,0,0,168,137,1,0,0,0,-11,-11,0
2025-08-07T14:22:49.960116,0.3109055459499359,79.15194346289752,17,39,5.0,-19.0,-1006.0,0,0,168,137,1,0,0,0,-11,-12,0
2025-08-07T14:22:49.975308,0.3109055459499359,79.15194346289752,17,39,5.0,-19.0,-1006.0,0,0,168,137,1,0,0,0,-11,-12,0
2025-08-07T14:22:49.998638,0.8630177974700928,78.32167832167832,17,39,5.0,-19.0,-1006.0,0,0,168,137,1,0,0,0,-11,-12,0
2025-08-07T14:22:50.024278,0.840537428855896,78.32167832167832,17,39,-11.0,-3.0,-1007.0,0,0,168,137,1,0,0,0,-10,-11,0
2025-08-07T14:22:50.057277,0.874774694442749,78.59649122807018,17,39,-11.0,-3.0,-1007.0,0,0,168,137,1,0,0,0,-10,-11,0
2025-08-07T14:22:50.084698,0.8484654426574707,81.45454545454545,17,39,-11.0,-3.0,-1007.0,0,0,168,137,1,0,0,0,-10,0,0
2025-08-07T14:22:50.102887,0.8484654426574707,81.45454545454545,17,39,-11.0,-3.0,-1007.0,0,0,168,137,1,0,0,0,-10,0,0
2025-08-07T14:22:50.116894,0.8694444894790649,80.57553956834532,17,39,-11.0,-3.0,-1007.0,0,0,168,137,1,0,0,0,-10,0,0
2025-08-07T14:22:50.135341,0.8694444894790649,80.57553956834532,17,39,-22.0,-7.0,-997.0,0,0,168,136,1,0,0,0,-9,0,0
2025-08-07T14:22:50.167448,0.8635923862457275,82.96296296296296,17,39,-22.0,-7.0,-997.0,0,0,168,136,1,0,0,0,-9,0,0
2025-08-07T14:22:50.203564,0.8516821265220642,82.65682656826569,17,39,-22.0,-7.0,-997.0,0,0,168,136,1,0,0,0,-9,0,0
2025-08-07T14:22:50.233635,0.8500682711601257,83.89513108614233,18,39,20.0,-15.0,-983.0,0,0,168,136,1,0,0,0,-9,0,0
2025-08-07T14:22:50.266068,0.8524141907691956,83.89513108614233,18,39,20.0,-15.0,-983.0,0,0,168,136,1,0,0,0,-9,0,0
2025-08-07T14:22:50.279193,0.8498120903968811,83.89513108614233,18,39,20.0,-15.0,-983.0,0,0,168,136,1,0,0,0,-9,0,0
2025-08-07T14:22:50.305241,0.8498120903968811,83.89513108614233,18,39,20.0,-15.0,-983.0,0,0,168,136,1,0,0,0,-9,0,0
2025-08-07T14:22:50.323192,0.8299204111099243,87.84313725490196,18,39,20.0,-15.0,-983.0,0,0,168,136,1,0,0,0,-9,0,0
2025-08-07T14:22:50.338192,0.8299204111099243,87.84313725490196,18,39,5.0,-10.0,-1002.0,0,0,168,135,1,0,0,0,-9,0,0
2025-08-07T14:22:50.354190,0.8281762599945068,92.56198347107438,18,39,5.0,-10.0,-1002.0,0,0,168,135,1,0,0,0,-8,0,0
2025-08-07T14:22:50.371192,0.8281762599945068,92.56198347107438,18,39,5.0,-10.0,-1002.0,0,0,168,135,1,0,0,0,-8,0,0
2025-08-07T14:22:50.388192,0.8374298214912415,92.9460580912863,18,39,5.0,-10.0,-1002.0,0,0,168,135,1,0,0,0,-7,0,0
2025-08-07T14:22:50.417367,0.8475250601768494,94.91525423728814,18,39,5.0,-10.0,-1002.0,0,0,168,135,1,0,0,0,-7,0,0
